Year,Month,Data,mm,SLR
1923,4,2,2231,18
1923,4,3,2249,108
1923,4,4,2357,169
1923,4,5,2526,-27
1923,4,6,2499,-94
1923,4,7,2405,57
1923,4,8,2462,-1
1923,4,9,2461,-44
1923,4,10,2417,-49
1923,4,11,2368,-70
1923,4,12,2298,23
1923,4,13,2321,74
1923,4,14,2395,-5
1923,4,15,2390,83
1923,4,16,2473,-14
1923,4,17,2459,27
1923,4,18,2486,31
1923,4,19,2517,3
1923,4,20,2520,32
1923,4,21,2552,72
1923,4,22,2624,45
1923,4,23,2669,-42
1923,4,24,2627,41
1923,4,25,2668,-99
1923,4,26,2569,-75
1923,4,27,2494,46
1923,4,28,2540,102
1923,4,29,2642,-9
1923,4,30,2633,-117
1923,5,1,2516,-65
1923,5,2,2451,-21
1923,5,3,2430,124
1923,5,4,2554,59
1923,5,5,2613,-61
1923,5,6,2552,-36
1923,5,7,2516,12
1923,5,8,2528,53
1923,5,9,2581,-60
1923,5,10,2521,-128
1923,5,11,2393,86
1923,5,12,2479,45
1923,5,13,2524,-121
1923,5,14,2403,-51
1923,5,15,2352,100
1923,5,16,2452,27
1923,5,17,2479,-70
1923,5,18,2409,-35
1923,5,19,2374,25
1923,5,20,2399,70
1923,5,21,2469,-1
1923,5,22,2468,-88
1923,5,23,2380,-30
1923,5,24,2350,39
1923,5,25,2389,80
1923,5,26,2469,29
1923,5,27,2498,-39
1923,5,28,2459,28
1923,5,29,2487,-1
1923,5,30,2486,-31
1923,5,31,2455,-37
1923,6,1,2418,24
1923,6,2,2442,52
1923,6,3,2494,-25
1923,6,4,2469,-10
1923,6,5,2459,30
1923,6,6,2489,4
1923,6,7,2493,53
1923,6,8,2546,25
1923,6,9,2571,-45
1923,6,10,2526,-12
1923,6,11,2514,11
1923,6,12,2525,-24
1923,6,13,2501,18
1923,6,14,2519,19
1923,6,15,2538,-21
1923,6,16,2517,-26
1923,6,17,2491,-61
1923,6,18,2430,3
1923,6,19,2433,68
1923,6,20,2501,25
